"batch_size","epochs","activation","dense","optimizer","drop","learning_rate","conv","clipnorm","clipvalue","decay","epsilon","rho","momentum","nesterov","beta_1","beta_2"
10,233,"elu","2000 1000 1000 1000 500 100 50","adagrad",0.612256808736746,0.0416513481671677,"100 100 100 100 100 1",5.55436832480388,5.04659161698017,5.35974730112706,"1e-14",9.98214046628652,2.85268906361656,TRUE,0.469663233518509,8.76628941425962
5,379,"sigmoid","2000 1000 1000 500 100 50","adam",0.244680811067449,0.00701069198574165,"64 32 16 32 64 1",4.48904672449754,1.26224353852572,4.47929101594491,"1e-12",8.63455524672802,7.69773885197705,FALSE,3.83322373670232,4.39829831889857
9,246,"softsign","1000 500 100 50","sgd",0.352146246539522,0.0269245404650027,"100 100 100 100 100 1",8.41439515955871,6.24072248991677,8.64770646336838,"1e-14",9.86648702796684,4.37029659028165,FALSE,0.0375880660392164,6.2944900515133
10,132,"softplus","2000 1000 1000 1000 500 100 50","adam",0.222253914513008,0.0472133079700151,"50 50 50 50 50 1",4.53473729332984,4.85347374198029,4.92596859999117,"1e-08",6.94772461767318,0.0122898980416358,FALSE,2.5587457023979,0.343550973787225
6,499,"sigmoid","2000 1000 1000 500 100 50","adagrad",0.594409244275326,0.0408538607076406,"32 20 16 32 10 1",0.305692253503017,1.61461775519573,6.58344578692922,"1e-10",8.17126324742821,8.95224681686261,FALSE,7.31051558212524,1.76004291448884
7,243,"hard_sigmoid","2000 1000 1000 500 100 50","adam",0.471914045483305,0.0391165624292937,"50 50 50 50 50 1",8.60461055072835,6.13635687516026,5.74974921673769,"1e-08",7.26867938489427,9.72688596038381,TRUE,7.2461183217378,8.0747473285509
8,450,"hard_sigmoid","2000 1000 1000 500 100 50","adadelta",0.0830025585313328,0.0970133904851521,"100 100 100 100 100 1",1.38573241490182,7.26871038243732,2.41294979717582,"1e-12",0.736755145822095,6.39880862812977,TRUE,2.42813422058151,3.26909251869795
5,129,"linear","2000 1000 500 100 50","adam",0.303788755182421,0.0318593400879523,"50 50 50 50 50 1",5.76353598826527,9.19788878464696,2.88385303512448,"1e-06",8.71934995338687,4.24984948050231,TRUE,0.220670569576564,7.08573431530845
6,240,"linear","1000 500 100 50","rmsprop",0.194722393923718,0.00720113201492694,"100 100 100 100 100 1",7.32308374820563,4.79321154252108,5.09492640488082,"1e-12",3.79051711346982,8.1324283820705,TRUE,5.89206663360563,2.24600142322559
6,183,"elu","2000 1000 1000 500 100 50","adagrad",0.320134555586334,0.0232490482127281,"50 50 50 50 50 1",7.15839291653139,3.04033145348708,0.95594548545545,"1e-12",6.63830264280339,3.85065078561893,FALSE,8.34186400728784,2.50806817613413
10,194,"tanh","1000 500 100 50","adagrad",0.0480753778936691,0.0979176288518342,"50 50 50 50 50 1",0.167259463058676,4.24465049061136,0.152878528740257,"1e-06",8.58112158661085,9.96541644689394,FALSE,9.69976776833066,5.17509322373322
6,493,"softsign","2000 1000 1000 1000 500 100 50","adam",0.333870462005376,0.0139341986853077,"50 50 50 50 50 1",8.80871013440699,6.34923394275625,6.46671522531658,"1e-12",8.2832515038582,0.986347968450282,TRUE,3.1973351989687,4.98320153806428
8,193,"hard_sigmoid","2000 1000 500 100 50","adam",0.0371741901699104,0.0340670673720114,"50 50 50 50 50 1",5.96707731987055,9.80786105125852,3.01884981070179,"1e-14",8.92430760333167,9.19938569079037,FALSE,5.68651217157701,2.74099737008492
6,113,"linear","2000 1000 1000 500 100 50","sgd",0.446563746164425,0.0223613773718351,"25 25 25 25 25 1",3.34230121840486,1.09569532964913,6.77129243166535,"1e-08",3.49024370652153,3.89602117755217,FALSE,9.24599604385723,9.44089910986263
5,455,"softsign","2000 1000 1000 500 100 50","sgd",0.182801442044426,0.0510384048398333,"50 50 50 50 50 1",4.75484644785116,0.897184553809021,9.22850422488991,"1e-06",0.822747400185203,2.98298342236318,FALSE,2.37758700973795,8.86231157949293
7,127,"softsign","2000 1000 1000 500 100 50","adam",0.666047328291263,0.0595776643528051,"32 20 16 32 10 1",4.46792320465673,0.103196756754381,4.82967582455836,"1e-10",7.08667453643567,3.5204180188186,TRUE,3.04976295486633,7.13988029729558
7,456,"relu","2000 1000 1000 1000 500 100 50","adadelta",0.885125627872464,0.082114990774054,"100 100 100 100 100 1",7.53006824270521,1.02182763217555,3.02108183554956,"1e-08",9.30759897895385,1.1039721625112,FALSE,1.3593941162522,2.68231344817839
9,312,"softmax","500 100 50","adadelta",0.0214478028424317,0.0535839035668584,"25 25 25 25 25 1",2.38351448505029,6.70277661468653,6.72850199835259,"1e-10",4.56236884617484,6.28284376305412,FALSE,9.3710152390343,7.54886217021638
5,449,"relu","2000 1000 500 100 50","adam",0.573185376261268,0.0790008837909279,"32 20 16 32 10 1",0.394229912140754,6.90030627640617,7.39784040913452,"1e-10",0.31935370523954,4.8255753132212,FALSE,2.72238727818757,0.756514390927974
6,411,"relu","2000 1000 500 100 50","adagrad",0.803438309304637,0.0649764562662558,"25 25 25 25 25 1",0.515374429137463,2.94490466074499,2.36193432398839,"1e-12",9.81893089360247,2.13951418000855,TRUE,2.80297217820593,4.47396328845945
9,411,"linear","500 100 50","rmsprop",0.268150270039192,0.0312628046240195,"32 20 16 32 10 1",9.66833539555286,0.190753404164304,8.22322421322693,"1e-14",5.40859996830039,0.948066206491785,TRUE,2.73000664365235,1.17853879090231
9,275,"hard_sigmoid","2000 1000 1000 500 100 50","adadelta",0.628243529430754,0.0519745046788392,"64 32 16 32 64 1",2.12376397721567,2.86044123615148,0.61002617006423,"1e-08",6.48498446360171,5.24369945966755,FALSE,7.77754744553238,1.70133903150537
9,340,"sigmoid","1000 500 100 50","adam",0.893852127977111,0.0725157790942469,"100 100 100 100 100 1",6.52548315443902,7.63494098965005,7.67979452294065,"1e-08",5.45712201779122,2.07732174292323,FALSE,3.32996470286963,7.10096713402393
10,185,"softsign","2000 1000 1000 1000 500 100 50","adadelta",0.865895301810221,0.0394971635743657,"32 20 16 32 10 1",4.66263403445601,0.497762224861898,3.37285930932383,"1e-10",2.59657776498668,1.25932279777946,TRUE,1.47030217489939,9.74106817853014
5,417,"softmax","1000 500 100 50","rmsprop",0.141862448489224,0.0282501015228191,"25 25 25 25 25 1",8.39417780548632,3.98383963495239,0.898857894296525,"1e-10",2.76539083223441,3.68406657435931,TRUE,3.27225909237664,6.74296757655132
9,275,"linear","500 100 50","adadelta",0.140205114745104,0.0366382624235491,"64 32 16 32 64 1",8.16914638866442,6.30839057527437,4.98637319075526,"1e-08",0.867550426500361,3.54568696445785,FALSE,6.98685820402551,1.55307238781509
9,272,"softsign","1000 500 100 50","adagrad",0.518103930882993,0.00823749361555227,"50 50 50 50 50 1",7.72685302568959,2.1659718986658,8.91804092019796,"1e-06",5.64674119695943,1.50867042977596,FALSE,4.08975172228042,0.892079111959401
10,281,"tanh","1000 500 100 50","adam",0.107677736294805,0.086587297051244,"32 20 16 32 10 1",5.24306222139858,7.70058700291995,4.12899821009953,"1e-14",8.14871301838792,2.974559297706,FALSE,3.78645246875428,1.02954456261014
7,225,"hard_sigmoid","2000 1000 500 100 50","adagrad",0.529005465571862,0.074043237873409,"64 32 16 32 64 1",7.22813082023414,0.0639072711907245,1.72835650340538,"1e-10",5.72090136819977,0.93251072487561,TRUE,9.44007468219143,8.35879596847839
6,133,"hard_sigmoid","2000 1000 500 100 50","sgd",0.0107223433861393,0.066417889294344,"25 25 25 25 25 1",5.84509501668037,9.04652998495261,7.30365612748195,"1e-06",9.29786167838794,3.98094161398709,FALSE,0.851083178194217,6.19760226415758
8,283,"relu","500 100 50","rmsprop",0.556862041524786,0.0398735782981855,"32 20 16 32 10 1",9.99888065709288,7.60214610739969,7.80788713881164,"1e-14",6.69722775727306,7.55609528007219,TRUE,0.312966519990123,5.53030541892401
10,471,"softplus","1000 500 100 50","sgd",0.568827938144538,0.0290538784999935,"100 100 100 100 100 1",8.44425987053964,4.63551166322402,0.249907379411161,"1e-06",6.02831215165207,1.78937940240838,TRUE,9.91631114679967,1.00214674447297
6,345,"tanh","500 100 50","adadelta",0.817267161407531,0.0453702659823381,"25 25 25 25 25 1",3.48771511634067,8.96873130283463,4.0354942247353,"1e-14",3.4286697680158,7.45034307468915,FALSE,6.69819564277666,1.9001094540497
8,382,"relu","1000 500 100 50","adagrad",0.326639571200078,0.0672875170633358,"25 25 25 25 25 1",6.36386110820644,0.930497277719246,9.41665794606437,"1e-12",6.92624354360852,6.93171492035501,FALSE,9.65061280433108,4.47886119289963
6,433,"relu","2000 1000 1000 1000 500 100 50","adagrad",0.646825669303397,0.0987805631382213,"100 100 100 100 100 1",6.17359537287284,9.33892436238038,3.04481191254687,"1e-08",7.68141858907397,2.9065352951677,TRUE,7.54092841120476,5.67440234339972
7,100,"hard_sigmoid","1000 500 100 50","rmsprop",0.592918803011882,0.0611203937839138,"64 32 16 32 64 1",6.81809316067951,7.88810275887323,5.40523982000537,"1e-08",7.90578779784815,1.40748153056134,FALSE,0.301599380411282,9.89818483628489
8,303,"linear","2000 1000 1000 1000 500 100 50","sgd",0.152309709244512,0.0619812264957909,"32 20 16 32 10 1",4.67237107635549,8.89025477975745,4.02770605348516,"1e-06",4.98738974926036,7.09496090734377,TRUE,0.262531797693111,9.09527809919984
10,479,"sigmoid","1000 500 100 50","adagrad",0.770225830727338,0.0652232394395924,"64 32 16 32 64 1",9.12807969783696,0.158342715550389,7.21994755221414,"1e-08",0.117776902352829,0.0569843609828968,FALSE,1.68310751737312,0.396177881671814
10,163,"linear","2000 1000 1000 1000 500 100 50","adam",0.723514609801385,0.0970599083027703,"25 25 25 25 25 1",5.56066403388619,0.92954461068924,3.37654632974649,"1e-10",9.9492352452016,6.01404763561906,TRUE,6.16738201194566,7.95300191397372
9,126,"relu","500 100 50","sgd",0.513201144587458,0.0648627377920761,"64 32 16 32 64 1",1.32561514081864,6.39214224733532,9.25574809865793,"1e-14",1.76111706050029,5.89336385201663,FALSE,9.15686702094573,5.33766056255008
5,332,"relu","500 100 50","adagrad",0.789713466142304,0.0777138863741874,"32 20 16 32 10 1",4.80154389412198,3.89517283650399,4.01069378893124,"1e-08",8.57136479323462,0.704329859765712,FALSE,0.908311267167474,4.53228162078178
9,453,"sigmoid","2000 1000 1000 500 100 50","adagrad",0.727302485457261,0.00737777420276784,"32 20 16 32 10 1",2.10822185004715,6.53905180051452,1.6957977283746,"1e-06",3.6674922518855,7.53567795415758,FALSE,3.77209947810171,6.75778895478034
5,452,"softplus","2000 1000 1000 1000 500 100 50","adadelta",0.190205594712426,0.00464371954997321,"50 50 50 50 50 1",5.38124646529382,0.804100964245341,5.66711204005755,"1e-06",7.06504628059989,8.54073375748238,TRUE,5.63865564877907,8.71206418736491
6,198,"relu","500 100 50","rmsprop",0.528154859173391,0.0090765676200328,"25 25 25 25 25 1",8.18934743190844,0.0884482209732423,2.14569734888617,"1e-08",5.05822664442867,4.94802807710133,TRUE,9.91296978736449,4.35707282847846
6,124,"relu","2000 1000 1000 1000 500 100 50","sgd",0.515975853505789,0.0819509116014627,"50 50 50 50 50 1",5.62003561569356,6.72634417932316,5.06496791863581,"1e-06",6.65044093639473,7.25681945968419,FALSE,0.403388624160288,4.4175275224156
6,292,"hard_sigmoid","2000 1000 1000 1000 500 100 50","sgd",0.385745433974918,0.0541779214686977,"100 100 100 100 100 1",4.98017191694363,9.74974739076225,1.94608681908692,"1e-08",1.99477396889898,6.51659711953485,TRUE,8.79561892879904,1.24153039964422
10,233,"relu","2000 1000 1000 500 100 50","adadelta",0.564768037436216,0.0797060398561108,"64 32 16 32 64 1",1.13363687683004,3.22908553912184,6.59739258404821,"1e-12",3.6070187065626,8.94450547904009,TRUE,3.1015583042632,1.08948782656943
8,495,"relu","2000 1000 500 100 50","sgd",0.238116883037193,0.0550011305321479,"32 20 16 32 10 1",3.50205279067239,8.48951145735748,5.9111731455347,"1e-08",5.07222821701271,3.11317695265287,TRUE,5.14453904240756,6.80131320182018
6,429,"softplus","2000 1000 1000 1000 500 100 50","adadelta",0.700523948069173,0.086879814529085,"64 32 16 32 64 1",7.43129285553006,3.77615627724924,0.311495357989334,"1e-06",7.4099344475418,2.66650766469305,FALSE,9.98756391200732,0.15622032856813
8,178,"sigmoid","2000 1000 500 100 50","adagrad",0.89257779926596,0.0180690122792241,"64 32 16 32 64 1",5.99906436006554,3.66825620549259,5.49985789615195,"1e-14",4.80822295131073,8.22946115760715,FALSE,0.23149497958634,2.52266819104024
6,468,"linear","2000 1000 500 100 50","adadelta",0.607767778070772,0.0658731990369705,"50 50 50 50 50 1",7.09556339366707,0.714491164410927,0.935710454619257,"1e-08",2.51320320847777,5.05023465083679,FALSE,8.7786783443939,9.06040247296217
9,220,"tanh","1000 500 100 50","adadelta",0.113091473335563,0.0607029821633028,"50 50 50 50 50 1",1.20285206742237,8.1689594118369,8.26718022285844,"1e-10",8.93471456086584,1.80436674333061,FALSE,3.71126022297255,8.20524612727406
6,132,"hard_sigmoid","1000 500 100 50","rmsprop",0.469203805971122,0.0461546504815328,"32 20 16 32 10 1",9.25300243227325,0.0108768044667654,4.57513445813325,"1e-08",6.33718297505786,7.2682875890634,TRUE,6.64663429278664,8.85880322121982
9,439,"softplus","2000 1000 1000 1000 500 100 50","rmsprop",0.352895132366067,0.0577514507294248,"100 100 100 100 100 1",9.47774717763002,9.95049770201411,7.56226369899116,"1e-10",5.62277148542535,8.09181297608884,TRUE,4.5519327305263,4.65020286661806
9,415,"hard_sigmoid","500 100 50","adam",0.40267902789074,0.0645788413167099,"32 20 16 32 10 1",6.05936626601327,7.78807921576996,3.65281461827923,"1e-06",3.12337167370976,8.33461194186937,FALSE,6.67475018819564,8.97840509782795
5,435,"softsign","2000 1000 1000 1000 500 100 50","adadelta",0.423852197989135,0.0900054327243508,"25 25 25 25 25 1",0.573754518935279,0.900721967149021,7.55829200211097,"1e-14",9.11805281567432,8.48341316545499,TRUE,4.98970189691798,7.83918245045472
8,449,"linear","2000 1000 1000 500 100 50","adadelta",0.0702378397144144,0.0408560839688468,"25 25 25 25 25 1",3.12389362584876,9.61557508809593,1.40420735887834,"1e-12",3.05892734951142,4.84350261487416,TRUE,4.9526160597993,5.65137004925566
10,203,"tanh","2000 1000 1000 1000 500 100 50","adadelta",0.274417423248268,0.000691805845194729,"64 32 16 32 64 1",3.30954889529279,2.35006863883715,8.46666231059236,"1e-10",5.95720547161978,7.29758517925744,FALSE,8.31563194025675,5.60123100091103
10,338,"linear","500 100 50","sgd",0.0805649542755098,0.069177280016008,"25 25 25 25 25 1",4.53650042997588,2.31245725200016,0.628618487120839,"1e-06",2.72467722810188,2.34519898582017,FALSE,2.44299041429325,9.31812014293734
6,225,"linear","500 100 50","sgd",0.717425418596633,0.0793221538754253,"64 32 16 32 64 1",9.89980303147227,3.95502140042959,1.11573488743976,"1e-12",3.71758457682122,5.74805389878573,TRUE,6.99336410942943,8.16562380615749
8,271,"softplus","500 100 50","adam",0.0297313564641285,0.031771380278346,"32 20 16 32 10 1",0.590154251995035,8.08623524925838,7.62431853531394,"1e-06",5.00878479488647,2.95188099354273,FALSE,4.91655661194221,0.203329753906198
7,383,"elu","2000 1000 1000 1000 500 100 50","rmsprop",0.398022037214111,0.0810183585671137,"50 50 50 50 50 1",8.05234971203362,2.34026781921088,6.97878413450206,"1e-12",5.27684791940632,2.36538507876452,FALSE,3.0629228286667,4.06495196211649
9,464,"softsign","1000 500 100 50","sgd",0.312896649667353,0.0178492737997409,"32 20 16 32 10 1",2.76244981387212,8.63234998509015,4.2781922897452,"1e-08",7.33066228090519,0.501978895063512,TRUE,8.3700375108714,4.8630172577652
6,450,"softmax","2000 1000 1000 500 100 50","rmsprop",0.663643468061741,0.0137203646521819,"64 32 16 32 64 1",9.77918016910422,9.47665391584345,6.85705532830558,"1e-08",9.71888067122292,4.63044855130371,FALSE,9.48047689023446,6.65258692431836
8,469,"softplus","2000 1000 500 100 50","adagrad",0.151711998773552,0.0995467061742992,"32 20 16 32 10 1",4.7623624632016,9.65095313321186,8.26092685211566,"1e-12",4.03030389358276,8.04112616750062,TRUE,4.02617332449364,5.02142988256334
8,432,"hard_sigmoid","500 100 50","adadelta",0.118349932750734,0.0205099642796186,"32 20 16 32 10 1",9.04997055330711,2.3086517475337,9.11797209136072,"1e-12",5.82825307572909,8.56236224946915,TRUE,7.95102293077508,8.33210412290152
5,353,"softplus","2000 1000 500 100 50","adam",0.873096400295512,0.0202014864676171,"100 100 100 100 100 1",9.23152578978591,5.78583944985466,6.67275774097769,"1e-08",9.98728786801509,1.05728184988489,TRUE,0.422039833999122,7.2359665645762
10,295,"elu","500 100 50","adagrad",0.69085928563925,0.0478983915725251,"50 50 50 50 50 1",0.82599489516095,9.9918316514642,7.247831591391,"1e-06",3.29899541268559,9.94133044070331,TRUE,9.17192678504843,5.97779416486335
6,436,"tanh","2000 1000 1000 1000 500 100 50","adam",0.785085726065165,0.0671637385168618,"64 32 16 32 64 1",7.98559746342254,0.359780319750545,4.64354985307204,"1e-12",7.17977019158291,0.631753150612349,TRUE,5.80966662445288,4.34288599594056
9,179,"tanh","2000 1000 1000 1000 500 100 50","sgd",0.20298250262579,0.078566467168592,"32 20 16 32 10 1",3.42042849084373,7.01552036267384,4.31621716201073,"1e-06",9.4509891392099,5.85454966983991,TRUE,3.99346870590107,7.48108447144857
9,486,"linear","2000 1000 1000 1000 500 100 50","sgd",0.627127408703277,0.0493790674855896,"64 32 16 32 64 1",3.16833571557328,5.03089564882708,8.77097644421621,"1e-12",5.36278107335629,7.6880017296935,TRUE,5.884078156132,4.74830886935283
8,490,"elu","2000 1000 1000 500 100 50","sgd",0.830751660143479,0.00309022412386595,"25 25 25 25 25 1",4.3903297019771,1.19799182982598,3.91929570465232,"1e-12",7.28623838648069,7.32729965395993,FALSE,2.39856522545973,4.0059324360583
10,348,"linear","2000 1000 1000 500 100 50","rmsprop",0.363111402526335,0.0248696026875609,"32 20 16 32 10 1",2.48745086056187,2.52331012554727,8.20015841663233,"1e-14",5.59885409943233,3.39004500085954,TRUE,8.73731573630089,5.81815381208254
9,165,"softsign","1000 500 100 50","sgd",0.442527139876771,0.0850895370382914,"25 25 25 25 25 1",5.12251275679372,9.00316089148094,5.1821690797084,"1e-12",2.24297686985886,6.09911796500208,TRUE,2.54505981898858,5.7564919352313
6,284,"softsign","2000 1000 1000 500 100 50","adadelta",0.383665273999621,0.0522080308243904,"100 100 100 100 100 1",6.73710380594848,4.11691834277938,3.92178462006152,"1e-12",8.65058795082284,6.54598936237395,TRUE,9.90878105909514,6.96336627164152
8,399,"relu","1000 500 100 50","sgd",0.488032407907164,0.0163950432145927,"32 20 16 32 10 1",4.78398425955919,1.21857449884411,8.20908769501373,"1e-14",1.02208094551071,0.726555788773112,FALSE,9.17872245763419,4.5682067287044
6,177,"relu","1000 500 100 50","sgd",0.0473006868239958,0.0485657017468699,"64 32 16 32 64 1",7.38284823685451,6.87271435800445,6.79144216699293,"1e-12",7.01752003372999,8.18685063593439,FALSE,4.57227161248922,8.01782032763353
8,389,"hard_sigmoid","1000 500 100 50","sgd",0.262038676927099,0.0836139390529562,"32 20 16 32 10 1",3.2144139353481,4.98648966619338,0.177957249372266,"1e-12",8.40855148352493,1.70524290293804,FALSE,4.12266053003548,0.381599699968565
7,119,"sigmoid","500 100 50","sgd",0.849799583605409,0.0155924810488548,"64 32 16 32 64 1",8.53012866932649,4.76715848274863,4.02378576761344,"1e-08",3.2003650396709,0.824182812689105,FALSE,8.86141057385889,7.30612769737174
9,208,"linear","2000 1000 1000 500 100 50","adam",0.756530299142527,0.0853088970219424,"32 20 16 32 10 1",4.34510668858703,4.50250538154555,4.15211042206385,"1e-14",4.19576321797201,8.28300795846968,FALSE,2.49238531500566,0.0571066981160722
10,140,"hard_sigmoid","500 100 50","rmsprop",0.191822074409842,0.0601535632573952,"32 20 16 32 10 1",6.20525122140973,5.1246710818998,1.57938837044057,"1e-08",4.53513470230146,9.71646196514019,TRUE,8.23506345140529,5.69203257262879
9,330,"elu","500 100 50","rmsprop",0.863326119392691,0.0744501425857583,"50 50 50 50 50 1",2.21402089858199,7.46529892318322,1.7480056974641,"1e-10",0.309461214152108,8.23934719633311,TRUE,5.10422772719775,7.75329118048516
6,489,"hard_sigmoid","1000 500 100 50","sgd",0.449852404291439,0.0644597648340084,"32 20 16 32 10 1",0.262633167849421,2.49709762919009,8.8806332631642,"1e-10",0.0355083133952952,9.35369326896034,FALSE,0.643637102131063,6.40262872144929
10,342,"softplus","1000 500 100 50","adadelta",0.0161070245369221,0.0912521236123646,"32 20 16 32 10 1",8.93790391586503,0.579362553031788,2.14201199352625,"1e-14",0.0923951335458918,4.65877671395894,TRUE,7.68049308964504,1.66665429165168
9,101,"tanh","2000 1000 1000 500 100 50","sgd",0.142799972866592,0.0432871401861098,"50 50 50 50 50 1",6.7450732162208,0.878794856917919,5.44069698693231,"1e-12",1.49021728020155,2.10713980588131,FALSE,5.78904509012467,7.14245309840706
5,252,"softmax","2000 1000 1000 1000 500 100 50","adadelta",0.0137331671815482,0.0576097972346545,"50 50 50 50 50 1",1.53895657762581,6.5594091521598,5.16173705368419,"1e-06",5.66940081568986,4.3978419748263,FALSE,5.28065798460695,9.65199559003698
6,358,"hard_sigmoid","2000 1000 500 100 50","adam",0.01926110831236,0.0818693870736145,"25 25 25 25 25 1",1.93951936635983,7.06346448909051,2.52857673302176,"1e-14",7.98603802916198,3.98507875632611,TRUE,6.9113623488144,3.82787447569046
5,412,"sigmoid","1000 500 100 50","adagrad",0.400023351566959,0.0659880023904007,"32 20 16 32 10 1",0.438886227155147,2.6242653642265,8.14971931298613,"1e-08",8.70485697588781,4.70753583878744,FALSE,1.05338496107087,7.27885618951765
10,442,"hard_sigmoid","500 100 50","rmsprop",0.22084229838067,0.0304421221036723,"25 25 25 25 25 1",0.467218746078805,5.25509948187238,8.25155566646717,"1e-10",2.05757936166488,8.61380790262134,TRUE,9.98313110389766,0.295354593938575
9,260,"softplus","2000 1000 500 100 50","sgd",0.173748276672908,0.0903685166998275,"64 32 16 32 64 1",5.33217244613257,0.860076911990325,2.89456435356289,"1e-08",1.6472101193483,1.17441809415002,TRUE,3.05541239016093,9.73648613385333
5,208,"sigmoid","500 100 50","adagrad",0.103494671653176,0.060313630266906,"25 25 25 25 25 1",4.86635829895317,8.97220032096876,3.86351389530231,"1e-10",0.473177930470326,2.26959853733308,TRUE,8.85267051954259,6.33732102084612
5,418,"softplus","500 100 50","sgd",0.283236698611616,0.0465387211778174,"25 25 25 25 25 1",4.14700296821357,2.49262428612125,4.42847128252848,"1e-08",7.79521690706716,5.60083937303978,FALSE,7.63130486521026,5.68348470215204
5,302,"elu","1000 500 100 50","rmsprop",0.711748610975558,0.0256145157939866,"100 100 100 100 100 1",0.693997893467075,8.16371171796342,8.13555693767383,"1e-12",5.85067185126225,6.42349018076551,TRUE,6.55821946492806,9.59159705991231
7,226,"relu","500 100 50","rmsprop",0.270870665898838,0.01630127593386,"64 32 16 32 64 1",1.16797700819383,8.5761288745412,5.41089568949537,"1e-14",7.25706186648316,2.57100995894754,TRUE,6.03928182106968,6.8338554127967
6,141,"sigmoid","2000 1000 500 100 50","adagrad",0.57340875111596,0.0269699440982898,"64 32 16 32 64 1",9.22496961950773,1.03974855027461,5.69027086844086,"1e-10",2.77637417957166,3.15579795967322,TRUE,5.75481891464153,5.08108422569849
5,286,"softsign","1000 500 100 50","adam",0.490829566445458,0.0221962745109519,"64 32 16 32 64 1",6.86319440459407,8.1572491936609,0.333612048776122,"1e-06",3.80503653568345,7.49765647154534,FALSE,5.69691444685925,0.708245549727157
8,443,"tanh","2000 1000 500 100 50","adadelta",0.40830048938042,0.0782609991783356,"25 25 25 25 25 1",3.72258839903666,9.52013332734065,0.828315665180562,"1e-12",4.71618124499612,5.61583769720164,TRUE,3.87270505153128,9.55510836600588
9,420,"linear","2000 1000 1000 1000 500 100 50","adadelta",0.206382307679043,0.0308171043825899,"64 32 16 32 64 1",7.74782156187568,6.72107166134243,6.2781612054212,"1e-10",3.56989589662875,8.25531394858379,FALSE,5.96752461872548,2.29454433183895
7,273,"softmax","2000 1000 1000 1000 500 100 50","adagrad",0.779260127647652,0.0762789644479763,"64 32 16 32 64 1",9.99373205399465,3.10455075180198,5.01348251000396,"1e-12",3.96951727108124,9.10386964513455,FALSE,4.63106904155569,3.25237925972258
6,283,"softplus","2000 1000 1000 1000 500 100 50","adagrad",0.389326814625913,0.0695934959539623,"32 20 16 32 10 1",9.59972461877243,8.72570887561989,4.4963551057619,"1e-14",8.09986406044995,6.01545242800261,TRUE,9.60409370417846,0.153491335717499
9,496,"linear","2000 1000 1000 500 100 50","sgd",0.245787334940652,0.0963211660286598,"64 32 16 32 64 1",4.88445806581532,7.46467830086866,5.08264230835251,"1e-14",6.49730923350023,7.20674192946171,FALSE,4.89203285147143,2.59989567566057
8,136,"relu","1000 500 100 50","adam",0.525765447139659,0.0440114956237733,"32 20 16 32 10 1",5.83259631969385,1.6596813159336,5.30375883205328,"1e-06",8.77487497795378,6.57273646646645,FALSE,8.53690539084104,9.65755304270352
7,372,"relu","2000 1000 1000 500 100 50","adam",0.742683764241636,0.0999944574268896,"25 25 25 25 25 1",2.80217422066366,1.91961991781193,1.90687896179967,"1e-06",1.55991671300539,8.23203305728734,FALSE,4.88787050452447,0.00183443802416072
6,484,"linear","2000 1000 1000 1000 500 100 50","sgd",0.238814854133909,0.0506861289714131,"50 50 50 50 50 1",5.17791365141229,0.429782149041368,5.90412885999191,"1e-06",1.5520133228573,3.43457217679126,FALSE,0.440637784739166,9.38721607242186
6,312,"elu","2000 1000 1000 500 100 50","adam",0.284151413196442,0.0190178514045739,"25 25 25 25 25 1",9.57761270974819,8.60205720151691,7.88636048936518,"1e-06",1.53896294231959,1.18785005103913,TRUE,7.74725788691886,6.28923509079569
9,258,"hard_sigmoid","500 100 50","adadelta",0.620107105043961,0.0454935541703818,"25 25 25 25 25 1",9.14844579191308,8.19103522268416,4.47203482242767,"1e-08",8.52607277825712,0.4304794106388,TRUE,2.57211515691017,8.4518328775504
6,392,"softmax","1000 500 100 50","rmsprop",0.836348874407297,0.0627883984435484,"64 32 16 32 64 1",2.65307591336716,9.12576109130185,6.90105599271716,"1e-14",7.97172208637563,6.86496226054151,TRUE,0.0150051823259545,9.03350864558311
10,341,"relu","2000 1000 500 100 50","sgd",0.629810826054693,0.0666082456052575,"25 25 25 25 25 1",2.68738434479727,3.69997542744291,9.90451292054146,"1e-14",1.13938460103568,3.66594108672696,TRUE,6.24422516365048,4.38975616473531
6,261,"softplus","2000 1000 500 100 50","adam",0.169106694097363,0.0112826462638334,"50 50 50 50 50 1",9.50260246227733,6.9973207882314,0.786633601461072,"1e-14",9.74414407049152,8.73512016413151,TRUE,4.24693457018576,2.97032234234402
6,283,"elu","500 100 50","adagrad",0.156667040032649,0.0588621852303364,"64 32 16 32 64 1",0.577709499423489,9.50592998187242,4.71269966976251,"1e-14",6.24916610718356,9.16406725366251,FALSE,4.56831329224762,8.16298494587066
7,321,"hard_sigmoid","500 100 50","sgd",0.144462223095959,0.00362276273438434,"64 32 16 32 64 1",7.25161691104534,1.57379156820837,3.16820383988903,"1e-06",5.33290449636757,3.57578956003068,FALSE,1.06781926378324,9.97063221728179
8,256,"softmax","1000 500 100 50","adadelta",0.612574445599958,0.0811531777727664,"64 32 16 32 64 1",4.0917920646144,9.84015195816284,7.29609404214425,"1e-06",7.71017089624531,8.74680114041665,TRUE,4.30020464485034,5.32815342358177
7,500,"softmax","2000 1000 1000 1000 500 100 50","adadelta",0.0484290081106941,0.0780584711048586,"50 50 50 50 50 1",9.97070712686444,6.17229050268189,0.518581811314216,"1e-06",1.30544782785737,9.15242526300019,FALSE,7.65275512741827,2.91283638981944
